team1,team2,goals1,goals2,xg1,xg2,dominance_team1_xgshare,fv1,fv2,luck_match_pct,low_xg_goal_count,match_id,match_date,competition_id,season_id
Reading WFC,Birmingham City WFC,0,0,1.1240207355,0.7952491973,0.5856501559737246,-1.1240207355,-0.7952491973,14.624798627658414,0,2275050,2020-01-12,37,42
Brazil,Costa Rica,0,0,1.621192136,0.036730567000000006,0.977845428539258,-1.621192136,-0.036730567000000006,48.867174155846016,0,3939976,2024-06-25,223,282
Chelsea FCW,Brighton & Hove Albion WFC,0,0,0.8314799334999999,0.17518881960000002,0.8259717319520324,-0.8314799334999999,-0.17518881960000002,39.4652406785954,0,3775580,2020-12-13,37,90
Paris Saint-Germain,Saint-Étienne,0,0,2.923183403,0.532046273,0.8460171036687981,-2.923183403,-0.532046273,40.899539993727856,0,3802837,2021-11-28,7,108
Cameroon,Serbia,0,0,2.0703093487,1.7380672830000001,0.5436199065678665,-2.0703093487,-1.7380672830000001,8.023971536152873,0,3857259,2022-11-28,43,106
Tunisia,South Africa,0,0,1.0176946654,0.5204111787,0.6616545079155389,-1.0176946654,-0.5204111787,24.43186073420878,0,3920416,2024-01-24,1267,107
Portugal,Ghana,0,0,2.096873393,0.7800233097,0.7288664174254366,-2.096873393,-0.7800233097,31.4003241134168,0,3857298,2022-11-24,43,106
Jamshedpur,Kerala Blasters,0,0,1.193239818,0.8749588075,0.576946432169457,-1.193239818,-0.8749588075,13.336841668319183,0,3813275,2021-12-26,1238,108
Spain Women's,Costa Rica Women's,0,0,4.171521951,0.12987016,0.9698074119613783,-4.171521951,-0.12987016,48.44337196920577,0,3893791,2023-07-21,72,107
Brighton & Hove Albion WFC,Reading WFC,0,0,2.210531518,0.96627641,0.6958341732015472,-2.210531518,-0.96627641,28.143799305014028,0,3775619,2020-12-20,37,90
Slovenia,Serbia,0,0,1.552166038,1.46133078,0.5150714043329048,-1.552166038,-1.46133078,2.926080579531402,0,3930170,2024-06-20,55,282
Barcelona,Levante UD,0,0,2.813838268,1.017280621,0.7344690544788781,-2.813838268,-1.017280621,31.923612444807365,0,3773387,2021-05-11,11,90
Manchester City WFC,Bristol City WFC,0,0,1.400627304,0.16175051000000001,0.8964715777767693,-1.400627304,-0.16175051000000001,44.22578334942983,0,2275106,2020-02-12,37,42
Hungary,Scotland,0,0,1.001013093,0.18353525399999998,0.8450588745788019,-1.001013093,-0.18353525399999998,40.83252480494778,0,3930177,2024-06-23,55,282
Paris Saint-Germain,Rennes,0,0,0.9943207275,0.751816838,0.5694400871647705,-0.9943207275,-0.751816838,12.19445007999192,0,3802795,2022-02-11,7,108
France,Portugal,0,0,4.984905566,4.542798661,0.5232011245556478,-4.984905566,-4.542798661,4.4344561712004165,0,3942349,2024-07-05,55,282
Jamshedpur,Mumbai City,0,0,1.671894475,1.670543812,0.5002020475598986,-1.671894475,-1.670543812,0.04039318928905409,0,3813284,2021-12-09,1238,108
Birmingham City WFC,Bristol City WFC,0,0,1.9386177409999998,0.28706146849999997,0.8710229815353809,-1.9386177409999998,-0.28706146849999997,42.59623332571164,0,3775636,2020-10-18,37,90
Croatia,Italy,0,0,1.483235055,0.985394353,0.6008334220573297,-1.483235055,-0.985394353,16.78225916795096,0,3930178,2024-06-24,55,282
Ecuador,Qatar,0,0,1.1540112984,0.30418895050000005,0.7913942541640174,-1.1540112984,-0.30418895050000005,36.82036515059478,0,3857286,2022-11-20,43,106
Brazil Women's,Panama Women's,0,0,3.555328247,0.16133432520000002,0.9565916135603073,-3.555328247,-0.16133432520000002,47.731090999317225,0,3893801,2023-07-24,72,107
Germany,Scotland,0,0,1.8446339139999999,0.060525935,0.9682305214274962,-1.8446339139999999,-0.060525935,48.359405231015394,0,3930158,2024-06-14,55,282
Goa,Mumbai City,0,0,1.9090928834,0.644808393,0.7475202354301936,-1.9090928834,-0.644808393,33.112178600455834,0,3817898,2022-02-26,1238,108
Nigeria,Guinea-Bissau,0,0,0.970812034,0.3514627777,0.7341983870598449,-0.970812034,-0.3514627777,31.898515603897014,0,3920409,2024-01-22,1267,107
Spain Women's,WNT Finland,0,0,3.075726338,0.361415755,0.8948499232149726,-3.075726338,-0.361415755,44.12470884462674,0,3835321,2022-07-08,53,106
Nantes,Paris Saint-Germain,0,0,2.1603744375,1.70165041,0.5593890569861228,-2.1603744375,-1.70165041,10.61677132300358,0,3802984,2021-11-20,7,108
Aston Villa,Birmingham City WFC,0,0,0.835516892,0.3506285084,0.7043966883977641,-0.835516892,-0.3506285084,29.017269922533178,0,3775568,2021-04-28,37,90
RB Leipzig,Bayer Leverkusen,0,0,1.722110068,1.523364167,0.530618930641426,-1.722110068,-1.523364167,5.7704180671452905,0,3895052,2023-08-19,9,281
Jamshedpur,Goa,0,0,2.021710275,0.767458014,0.724843417650085,-2.021710275,-0.767458014,31.01958466823343,0,3813315,2021-11-26,1238,108
Tottenham Hotspur Women,West Ham United LFC,0,0,2.1700936157,0.73987227,0.745745380165506,-2.1700936157,-0.73987227,32.952987266373256,0,2275077,2020-01-12,37,42
France,Netherlands,0,0,1.2184023685,0.738183302,0.6227186403693945,-1.2184023685,-0.738183302,19.70691615985643,0,3930173,2024-06-21,55,282
Manchester United,Aston Villa,0,0,2.556162035,0.982911887,0.7222686192311751,-2.556162035,-0.982911887,30.773678007466376,0,3775566,2020-12-05,37,90
Bengaluru,East Bengal,0,0,0.882960716,0.330591711,0.7275834948332233,-0.882960716,-0.330591711,31.279364698259126,0,3813293,2022-01-04,1238,108
Sweden,Slovakia,0,0,1.583975065,0.553247628,0.7411371169639738,-1.583975065,-0.553247628,32.53610046569767,0,3788761,2021-06-18,55,43
Netherlands,Austria,0,0,1.510208619,1.0578987149999999,0.5880628893527392,-1.510208619,-1.0578987149999999,14.975080207776251,0,3930180,2024-06-25,55,282
Senegal,Ecuador,0,0,1.70746471,1.0016627869999999,0.6302636962973471,-1.70746471,-1.0016627869999999,20.668126224406713,0,3857267,2022-11-29,43,106
Manchester United,Bristol City WFC,0,0,2.5576877046,0.1632819455,0.9399912654321597,-2.5576877046,-0.1632819455,46.80801637341538,0,2275142,2020-01-05,37,42
Sweden Women's,Germany Women's,0,0,2.905797039,0.874782468,0.7686115405375603,-2.905797039,-0.874782468,34.94763302014639,0,3998856,2025-07-12,53,315
Netherlands Women's,South Africa Women's,0,0,1.3935986697,0.9574853170000001,0.592747293411694,-1.3935986697,-0.9574853170000001,15.64702098897246,0,3901796,2023-08-06,72,107
Paris Saint-Germain,Marseille,0,0,2.197463918,1.567600546,0.5836457619813014,-2.197463918,-1.567600546,14.331597593949663,0,3837885,2023-02-26,7,235
Morocco,South Africa,0,0,2.090429641,0.240658424,0.8967613332102922,-2.090429641,-0.240658424,44.24380473564094,0,3922243,2024-01-30,1267,107
Mali,Côte d'Ivoire,0,0,1.317118139,0.837388909,0.611331552719989,-1.317118139,-0.837388909,18.21132120935736,0,3922659,2024-02-03,1267,107
Venezuela,Jamaica,0,0,1.714409986,0.667584843,0.719737072947273,-1.714409986,-0.667584843,30.530186814952444,0,3939987,2024-07-01,223,282
France,Belgium,0,0,1.262011896,0.36321392599999996,0.7765147950005928,-1.262011896,-0.36321392599999996,35.60972653462214,0,3941019,2024-07-01,55,282
Argentina,France,0,0,5.892305926,5.406617949,0.5214926652472911,-5.892305926,-5.406617949,4.121374408420351,0,3869685,2022-12-18,43,106
Sweden Women's,Poland Women's,0,0,2.732056366,0.238589279,0.9196843691533595,-2.732056366,-0.238589279,45.63352202448666,0,3998848,2025-07-08,53,315
Equatorial Guinea,Guinea-Bissau,0,0,1.7774974069999998,1.034414044,0.6321313590326141,-1.7774974069999998,-1.034414044,20.902516090140207,0,3920397,2024-01-18,1267,107
Paris Saint-Germain,Toulouse,0,0,3.057143262,0.8037850807,0.7918155921697573,-3.057143262,-0.8037850807,36.85398406592566,0,3837683,2022-08-31,7,235
Hyderabad,Kerala Blasters,0,0,1.238625855,0.8572790215,0.5909742702962788,-1.238625855,-0.8572790215,15.39394773492759,0,3813305,2022-01-09,1238,108
Chennaiyin,East Bengal,0,0,2.746079656,1.048977083,0.7235938339945858,-2.746079656,-1.048977083,30.90046148683168,0,3813280,2021-12-03,1238,108
United States,Panama,0,0,0.914278539,0.730782593,0.5557717711611462,-0.914278539,-0.730782593,10.035013301345794,0,3939981,2024-06-28,223,282
